folioviv|numren|parentesco|sexo|edad|nivel_esc|ing_trab|factor
0436531|3|3|1|26|2|0|542
0436531|4|3|1|2|1|0|542
0419028|1|1|1|64|1|5724.73|1096
0419028|2|2|1|58|1|2139.88|1096
0419028|3|4|1|9|1|0|1096
0162509|1|1|2|32|1|4381.63|491
0162509|2|2|1|80|3|19919.2|491
0394775|1|1|1|37|3|4675.81|1130
0394775|2|2|1|35|2|3008.53|1130
0394775|3|3|2|20|2|1708.27|1130
0394775|4|3|2|31|1|1673.8|1130
0394775|5|3|1|10|4|0|1130
0295491|1|1|2|52|3|1597.08|1065
0295491|2|2|2|43|1|2415.49|1065
0295491|3|3|1|999|3|4429.07|1065
0295491|4|3|1|31|3|3343.83|1065
0295491|5|3|1|4|4|0|1065
0343922|1|1|2|88|3|11776.1|1301
0343922|2|2|1|34|2|2659.1|1301
0343922|3|3|1|9|0|0|1301
0343922|4|3|1|27|1|415.66|1301
0953953|1|1|1|39|2|0|1345
0953953|2|2|1|73|3|7557.51|1345
0953953|3|3|2|37|3|3000.84|1345
0953953|4|3|2|36|2|0|1345
0953953|5|4|2|25|5|0|1345
0836432|1|1|1|79|1|6088.51|1124
0492394|1|1|1|44|2|5040.65|267
0492394|2|2|1|77|2|7126.72|267
0492394|3|3|2|18|3|1887.98|267
0492394|4|4|2|9|4|0|267
0492394|5|3|2|38|2|10743.67|267
0492394|6|3|1|12|2|0|267
0861732|1|1|1|65|3|7869.97|506
0861732|2|2|1|29|1|1347.85|506
0468451|1|1|1|70|3|0|537
0468451|2|2|2|74|3|5296.93|537
0468451|3|3|1|3|1|0|537
0985271|1|1|1|76|4|0|380
0985271|2|2|2|52|3|1948.1|380
0985271|3|3|1|20|3|4017.38|380
0985271|4|3|2|0|1|0|380
0640670|1|1|1|76|3|4760.07|458
0640670|2|2|2|36|1|0|458
0640670|3|4|1|3|2|0|458
0109886|1|1|1|26|1|1636.87|486
0109886|2|2|1|999|2|0|486
0109886|3|3|1|25|4|0|486
0556973|1|1|1|34|2|3789.04|209
0556973|2|2|2|51|2|6988.33|209
0741853|1|1|1|62|1|2249.29|641
0741853|2|2|1|27|0|0|641
0741853|3|3|2|31|2|3531.76|641
0741853|4|3|2|17|0|0|641
0741853|5|3|2|12|3|0|641
0741853|6|3|2|999|3|0|641
0573050|1|1|1|80|4|14600.64|280
0573050|2|2|1|64|1|2261.18|280
0573050|3|3|1|13|3|0|280
0573050|4|3|2|7|1|0|280
0573050|5|3|2|23|2|1516.42|280
0703999|1|1|2|55|3|6522.88|453
0703999|2|2|2|35|4|0|453
0694322|1|1|1|75|2|5506.97|1011
0694322|2|2|2|30|1|1897.08|1011
0694322|3|3|2|7|1|0|1011
0105274|1|1|1|64|3|3781.93|1058
0105274|2|2|2|63|1|4290.26|1058
0105274|3|3|1|26|3|2877.84|1058
0105274|4|3|1|34|3|0|1058
0105274|5|3|1|14|0|0|1058
0333812|1|1|1|87|1|11792.42|313
0333812|2|2|1|27|5|0|313
0333812|3|3|2|18|2|2845.88|313
0333812|4|3|1|18|2|0|313
0118701|1|1|2|75|2|7348.84|777
0118701|2|2|2|66|4|11794.76|777
0118701|3|3|1|34|2|0|777
0453909|1|1|1|50|2|1899.93|147
0609032|1|1|2|80|1|5164.98|580
0172777|1|1|2|64|2|5627.01|527
0172777|2|2|1|36|2|0|527
0172777|3|4|2|1|2|0|527
0172777|4|4|2|0|2|0|527
0172777|5|3|2|30|1|1979.59|527
0697191|1|1|2|45|2|1441.56|1168
0697191|2|2|1|31|1|3600.98|1168
0697191|3|3|1|36|4|0|1168
0840037|1|1|1|86|3|5936.68|631
0840037|2|2|1|54|2|5062.89|631
0840037|3|3|2|26|3|2158.41|631
0840037|4|3|2|0|2|0|631
0256030|1|1|2|999|4|3171.03|900
0256030|2|2|2|999|2|15728.67|900
0256030|3|3|2|10|1|0|900
0194242|1|1|1|84|4|0|1367
0194242|2|2|1|27|3|1148.78|1367
0194242|3|3|2|29|3|2474.09|1367
0194242|4|3|2|26|1|944.04|1367
0812102|1|1|1|27|1|1057.77|478
0786632|1|1|2|82|1|0|1191
0786632|2|2|2|74|3|n.d.|1191
0786632|3|3|2|28|2|2221.57|1191
0786632|4|4|1|4|2|0|1191
0786632|5|3|1|22|1|0|1191
0786632|6|3|2|18|1|1863.7|1191
0355661|1|1|1|70|1|4437.85|804
0355661|2|2|2|40|1|2336.24|804
0355661|3|3|1|34||3196.52|804
0316762|1|1|1|35|2|2474.84|1348
0316762|2|2|1|52|1|2994.26|1348
0419928|1|1|1|32|5|5580.2|315
0419928|2|2|2|29|4|3985.4|315
0419928|3|3|2|38|5|0|315
0419928|4|3|1|19|3|1711.8|315
0310303|1|1|2|55|2|1568.83|774
0310303|2|2|2|39|4|0|774
0310303|3|3|2|19|1|0|774
0822779|1|1|1|70|0|3969.66|1122
0822779|2|2|1|83|4|n.d.|1122
0477110|1|1|1|73|1|5049.27|648
0477110|2|2|1|88|1|7496.12|648
0477110|3|3|1|8|3|0|648
0477110|4|3|2|32|2|7751.56|648
0269747|1|1|1|32|5|0|253
0269747|2|2|2|79|5|79129.96|253
0348069|1|1|2|59|3|3508.05|543
0348069|2|2|2|73|5|26500.87|543
0348069|3|4|2|36|1|0|543
0301770|1|1|1|47|3|2845.22|986
0301770|2|2|1|27|2|964.97|986
0385604|1|1|2|57|2|2514.79|176
0385604|2|2|1|88|1|0|176
0385604|3|3|1|27|3|2972.42|176
0385604|4|3|2|34|2|5045.78|176
0662182|1|1|1|82|2|0|654
0662182|2|2|2|41|2|3213.21|654
0662182|3|3|2|33|3|0|654
0662182|4|4|2|18|4|4569.37|654
0662182|5|3|2|9|2|0|654
0662182|6|3|1|35|2|3415.05|654
0431582|1|1|1|70|3|28369.04|404
0431582|2|2|1|87|2|12802.55|404
0431582|3|3|2|4|2|0|404
0600003|1|1|1|62|2|4998.83|136
0600003|2|2|2|60|2|8160.27|136
0600003|3|3|2|36|2|4072.58|136
0676252|1|1|1|29|3|3623.55|103
0676252|2|2|2|36|1|2139.25|103
0382918|1|1|1|24|1|785.35|690
0382918|2|2|1|26|4|7649.3|690
0382918|3|4|1|22|5|0|690
0382918|4|3|1|34|2|2783.2|690
0382918|5|3|1|3|0|0|690
0382918|6|3|2|18|1|1049.87|690
0382918|7|3|2|7|2|0|690
0995444|1|1|1|67|2|7050.36|325
0995444|2|2|1|72|1|2366.1|325
0995444|3|4|2|14|4|0|325
0534126|1|1|1|87|2|11046.72|870
0534126|2|2|2|83|1|6188.83|870
0435960|1|1|2|24|2|2638.61|92
0435960|2|2|2|53|3|7972.55|92
0435960|3|3|2|8|0|0|92
0435960|4|3|2|1|1|0|92
0435960|5|3|2|29|2|0|92
0178456|1|1|1|76|2|5421.86|1009
0178456|2|2|2|28|5|6054.5|1009
0178456|3|3|1|17|2|2362.29|1009
0178456|4|3|1|3|3|0|1009
0496743|1|1|1|33|1|1435.95|155
0496743|2|2|2|85|5|20282.06|155
0496743|3|3|1|33|5|7029.76|155
0661177|1|1|1|88|1|0|122
0661177|2|2|1|38|1|2964.6|122
0661177|3|3|1|14|3|0|122
0661177|4|3|1|20|1|1240.42|122
0321797|1|1|2|26|3|0|1063
0321797|2|2|2|31|3|0|1063
0321797|3|4|1|11|3|0|1063
0321797|4|3|2|3|1|0|1063
0526322|1|1|1|87|4|19123.18|1057
0526322|2|2|2|56|3|4671.6|1057
0526322|3|3|1|35|3|5259.57|1057
0526322|4|3|2|20|2|4452.87|1057
0621686|1|1|1|31|0|956.32|801
0621686|2|2|1|88|0|4754.42|801
0621686|3|3|2|13|4|0|801
0621686|4|3|1|24|4|5695.84|801
0865758|1|1|1|58|1|6992.85|1298
0865758|2|2|2|41|2|4469.33|1298
0865758|3|3|2|28|1|0|1298
0865758|4|3|1|28|3|3610.62|1298
0865758|5|3|2|0|3|0|1298
0160749|1|1|2|78|3|3943.04|439
0160749|2|2|2|50|2|3405.99|439
0160749|3|3|1|4|4|0|439
0160749|4|3|1|32|2|3157.95|439
0710468|1|1|1|34|2|1954.96|169
0710468|2|2|1|34|3|2038.28|169
0710468|3|3|2|25|2|1013.48|169
0710468|4|4|1|19|0|818.46|169
0710468|5|4|2|0|2|0|169
0620643|1|1|2|26|3|4097.91|641
0620643|2|2|1|40|3|1797.69|641
0620643|3|3|2|2|4|0|641
0353600|1|1|1|39|3|9406.48|1377
0353600|2|2|2|45|2|0|1377
0289517|1|1|1|25|5|8175|991
0289517|2|2|2|86|2|6360.04|991
0289517|3|4|2|15|2|3202.25|991
0289517|4|3|2|39|1|883.96|991
0289517|5|3|2|1|5|0|991
0418184|1|1|2|38|3|5819.98|819
0418184|2|2|2|56|1|5861.33|819
0715709|1|1|2|34|4|2419.07|614
0715709|2|2|1|58|4|4396.36|614
0715709|3|3|1|1|5|0|614
0715709|4|3|2|12|4|0|614
0715709|5|4|1|26|2|3762.37|614
0715709|6|3|1|25|4|5157.76|614
0715709|7|3|1|18|0|866.32|614
0700167|1|1|2|86|3|7167.95|307
0700167|2|2|1|79|2|0|307
0395591|1|1|1|51|2|2410.75|343
0395591|2|2|2|79|3|4849.03|343
0395591|3|3|1|33|4|0|343
0395591|4|3|2|29|1|0|343
0395591|5|3|2|20|4|2618.89|343
0395591|6|3|1|23|4|6635.27|343
0428610|1|1|1|81|2|5743.52|96
0428610|2|2|1|70|1|4235.32|96
0428610|3|3|1|29|4|7226.1|96
0904295|1|1|1|49|1|4365.98|483
0904295|2|2|2|59|3|5247.16|483
0904295|3|3|1|21|2|2342.46|483
0904295|4|3|2|4|1|0|483
0904295|5|3|1|20|1|1148.43|483
0405224|1|1|1|73|3|9998.14|1139
0405224|2|2|1|28|0|3888.6|1139
0405224|3|3|2|23|1|1800.19|1139
0321593|1|1|2|30|2|0|226
0321593|2|2|2|30|2|4758.33|226
0321593|3|3|1|12|2|0|226
0685358|1|1|1|62|1|1806.58|503
0685358|2|2|2|28|1|2094.4|503
0584251|1|1|1|60|4|4473.38|1218
0584251|2|2|1|42|3|3693.94|1218
0584251|3|3|2|3|1|0|1218
0251239|1|1|2|76|3|7842.87|1224
0251239|2|2|1|58|2|2044.11|1224
0804204|1|1|1|60|3|15464.76|1253
0804204|2|2|2|68|1|0|1253
0804204|3|3|1|11|4|n.d.|1253
0804204|4|3|2|1|2|0|1253
0495103|1|1|2|63|1|3954.35|1079
0276928|1|1|2|70|3|6754.95|1303
0276928|2|2|2|36|2|5316.25|1303
0276928|3|3|2|19|2|1266.93|1303
0276928|4|3|1|39|3|4490.06|1303
0606318|1|1|1|28|3|0|410
0870791|1|1|1|88|3|0|221
0870791|2|2|2|36|5|8721.99|221
0870791|3|3|1|2|4|0|221
0870791|4|3|1|24|1|0|221
0870791|5|3|2|12|1|0|221
0407580|1|1|2|44|2|2397.29|1198
0407580|2|2|2|86|1|3940.83|1198
0407580|3|3|1|10|4|0|1198
0407580|4|3|1|5|3|0|1198
0407580|5|4|2|12|3|0|1198
0211965|1|1|1|76|3|6479.47|1398
0211965|2|2|2|73|2|0|1398
0211965|3|3|1|8|2|0|1398
0211965|4|3|1|999|3|4975.27|1398
0327267|1|1|1|64|2|7697.7|784
0327267|2|2|1|53|4|0|784
0327267|3|3|1|5|1|0|784
0327267|4|3|2|19|2|1049.02|784
0327267|5|4|2|29|3|5590.38|784
0247243|1|1|1|76|4|4563.66|274
0247243|2|2|1|84|1|8601.32|274
0152912|1|1|1|76|2|5992.95|261
0152912|2|2|2|82|2|3643.97|261
0152912|3|3|1|12|4|0|261
0152912|4|3|1|0|3|0|261
0781161|1|1|1|66|1|0|523
0961766|1|1|1|26|1|0|179
0961766|2|2|1|79|3|11252.31|179
0961766|3|3|1|37|2|2875.77|179
0961766|4|3|2|25|0|617.86|179
0768412|1|1|1|77|2|4884.16|471
0768412|2|2|1|48|1|0|471
0768412|3|4|1|17|3|0|471
0624617|1|1|1|74|2|2843.33|1200
0572483|1|1|1|47|3|6004.68|126
0572483|2|2|2|31|4|3545.28|126
0572483|3|3|1|24|4|5188.59|126
0572483|4|3|1|0|2|0|126
0572483|5|4|2|29|1|3863.04|126
0335880|1|1|1|65|0|2222.75|956
0999457|1|1|2|50|1|3995.9|1038
0999457|2|2|1|54|2|0|1038
0999457|3|3|1|26|0|0|1038
0999457|4|3|2|28|0|1616.15|1038
0154138|1|1|1|67|1|2810.78|868
0174291|1|1|1|28|3|1963.04|1173
0174291|2|2|1|84|3|11775.17|1173
0174291|3|3|2|10|2|0|1173
0174291|4|3|1|34|1|608.73|1173
0425631|1|1|2|87|1|6935.59|862
0425631|2|2|1|88|5|19053.24|862
0425631|3|3|1|40|1|1312.02|862
0425631|4|3|2|17|4|3703.53|862
0887590|1|1|1|45|3|2169.23|500
0887590|2|2|1|81|3|12751.94|500
0887590|3|3|1|39|2|3283.63|500
0887590|4|3|2|7|3|0|500
0887590|5|3|1|15|2|1653.51|500
0294115|1|1|2|51|2|3743.76|943
0294115|2|2|1|86|2|8371.23|943
0294115|3|3|2|6|1|0|943
0294115|4|3|2|2|5|0|943
0294115|5|3|2|37|4|0|943
0294115|6|3|1|28|5|4984.85|943
0294115|7|3|1|29|5|3730.83|943
0434513|1|1|1|31|4|4548.73|1000
0434513|2|2|2|40|3|5935.12|1000
0657550|1|1|2|35|0|3181.31|510
0657550|2|2|2|38|1|2411.31|510
0657550|3|3|1|11|3|0|510
0657550|4|3|1|23|0|2598.56|510
0982627|1|1|2|43|1|4375.44|426
0982627|2|2|1|60|3|7485.17|426
0612211|1|1|1|34|2|0|1267
0612211|2|2|2|81|2|9312.82|1267
0605823|1|1|2|37|2|3081.36|607
0605823|2|2|1|68|0|2408.25|607
0605823|3|3|1|0|2|0|607
0605823|4|4|2|19|1|1133.17|607
0605823|5|3|1|34|2|1079.19|607
0605823|6|3|2|28|4|2120.99|607
0605823|7|4|2|15|2|1746.7|607
0188704|1|1|2|76|2|2254.68|1227
0188704|2|2|2|80|2|6029.83|1227
0296371|1|1|1|33|1|1433.46|161
0296371|2|2|1|52|3|5703.09|161
0296371|3|4|1|1|0|0|161
0296371|4|3|2|21|4|2501.46|161
0247218|1|1|2|26|3|1596|774
0247218|2|2|2|65|4|0|774
0247218|3|3|1|29|2|1313.72|774
0880846|1|1|2|84|1|5093.03|344
0880846|2|2|2|63|0|2109.59|344
0241293|1|1|2|69|5|6587|230
0241293|2|2|2|63|1|5025.62|230
0595898|1|1|1|54|1|1539.85|561
0595898|2|2|1|63|1|4029.73|561
0595898|3|4|1|24|3|766.1|561
0595898|4|3|1|15|3|3222.77|561
0269143|1|1|1|69|3|0|347
0269143|2|2|1|79|3|12238.37|347
0778076|1|1|1|30|3|3264.45|828
0224293|1|1|1|36|3|1962.51|1353
0601834|1|1|2|82|2|11601.98|147
0601834|2|2|2|24|2|0|147
0601834|3|3|1|13|3|0|147
0478152|1|1|1|39|2|2972.08|729
0478152|2|2|1|41|4|0|729
0478152|3|3|1|17|2|1583.66|729
0424547|1|1|2|52|1|1736.1|454
0424547|2|2|2|75|3|5236.57|454
0424547|3|3|1|28|4|17161.65|454
0424547|4|3|1|8|3|0|454
0544481|1|1|2|61|3|7010.11|1263
0544481|2|2|1|72|1|4312.72|1263
0544481|3|3|2|23|3|2956.64|1263
0544481|4|3|1|10|2|0|1263
0741778|1|1|1|49|4|4156.08|949
0741778|2|2|2|60|0|2465.39|949
0692535|1|1|1|25|1|0|270
0692535|2|2|1|78|1|5836.73|270
0778714|1|1|1|71|3|8270.61|495
0778714|2|2|1|26|3|3491.46|495
0778714|3|4|2|23|1|983.32|495
0778714|4|3|2|40|2|4890.54|495
0778714|5|3|1|9|4|0|495
0778714|6|3|2|4|1|0|495
0636089|1|1|2|77|1|8575.61|984
0612437|1|1|1|43|1|948.22|140
0612437|2|2|1|76|3|14721.92|140
0218840|1|1|2|25|3|2756.08|1143
0218840|2|2|1|26|3|5131.96|1143
0218840|3|3|1|13|0|0|1143
0577772|1|1|1|31|1|0|510
0577772|2|2|2|59|2|8635.6|510
0375587|1|1|1|64|1|0|1111
0375587|2|2|1|78|1|6419.95|1111
0375587|3|3|2|27|3|6207.22|1111
0859680|1|1|1|54|3|4679.32|491
0859680|2|2|2|73|1|4242.27|491
0680442|1|1|2|55|4|10669.48|207
0680442|2|2|1|65|4|6180.51|207
0680442|3|3|1|0|3|0|207
0735660|1|1|2|82|2|6629.13|1217
0256349|1|1|2|84|2|0|496
0256349|2|2|1|80|5|13450.26|496
0256349|3|3|1|11|2|0|496
0833953|1|1|1|74|2|4875.22|1268
0833953|2|2|2|36|4|2637.51|1268
0235578|1|1|1|49|4|1597.1|426
0235578|2|2|2|39|0|2668.96|426
0235578|3|3|2|20|3|2852.79|426
0235578|4|3|1|35|1|0|426
0235578|5|3|1|19|2|870.59|426
0235578|6|3|2|22|1|3533.44|426
0504584|1|1|1|64|2|7133.45|707
0504584|2|2|2|47|2|2906.53|707
0504584|3|3|2|27|2|5241.96|707
0238902|1|1|2|67|1|5552.44|262
0982248|1|1|2|36|3|4407.31|957
0982248|2|2|2|56|2|3102.2|957
0925575|1|1|1|72|2|6279.44|124
0925575|2|2|1|60|2|5918.27|124
0925575|3|3|1|13|1|0|124
0925575|4|3|1|27|1|2429.2|124
0542910|1|1|2|36|3|0|487
0542910|2|2|2|24|3|2896.61|487
0996929|1|1|2|77|1|4126.01|912
0996929|2|2|1|24|1|4792.17|912
0996929|3|3|1|40|3|3798.93|912
0185692|1|1|1|53|5|7661.25|808
0185692|2|2|1|65|3|0|808
0817537|1|1|1|29|5|2860.42|110
0817537|2|2|2|85|3|25669.6|110
0110768|1|1|1|49|1|0|281
0626096|1|1|2|53|1|0|950
0626096|2|2|1|88|2|6061.95|950
0626096|3|3|1|12|2|0|950
0626096|4|3|2|28|1|996.18|950
0179103|1|1|1|64|4|7726.45|105
0179103|2|2|2|74|1|4105.88|105
0179103|3|3|2|34|1|2121.79|105
0179103|4|3|1|2|2|0|105
0359373|1|1|1|61|3|19543.1|430
0359373|2|2|1|85|2|0|430
0359373|3|3|2|9|1|0|430
0359373|4|3|1|39|3|8585.96|430
0359373|5|3|2|11|2|0|430
0312489|1|1|1|39|2|3169.04|834
0312489|2|2|1|72|1|4094.29|834
0312489|3|3|2|33|3|1686.32|834
0525999|1|1|1|85|4|28166.46|949
0525999|2|2|1|70|2|3319.39|949
0525999|3|3|1|17|4|2901.69|949
0525999|4|3|2|22|4|5808.28|949
0525999|5|3|2|0|3|0|949
0804348|1|1|1|74|2|8210.93|997
0804348|2|2|1|57|1|0|997
0888757|1|1|1|42|5|14742.6|1321
0888757|2|2|2|70|4|10293.94|1321
0592247|1|1|1|47|1|665.08|884
0592247|2|2|1|28|3|0|884
0592247|3|4|1|31|5|5439.04|884
0592247|4|3|1|29|1|1536.28|884
0592247|5|3|1|23|5|8428.62|884
0592247|6|3|2|8|3|0|884
0291558|1|1|2|39|0|1926.27|427
0291558|2|2|1|70|2|4679.12|427
0291558|3|3|1|11|1|0|427
0291558|4|3|2|14|2|0|427
0291558|5|3|1|33|3|5408.64|427
0111500|1|1|1|42|1|921.5|393
0111500|2|2|1|38|1|2124.67|393
0444654|1|1|1|54|2|0|703
0444654|2|2|2|80|5|15027.44|703
0444654|3|3|1|2|3|0|703
0444654|4|3|1|24|1|1522.74|703
0444654|5|3|1|23|2|0|703
0444654|6|3|1|11|5|0|703
0546613|1|1|1|45|4|15572.36|941
0546613|2|2|2|60|2|3352.47|941
0498714|1|1|2|32|4|3653.16|1025
0498714|2|2|2|31|4|7516.36|1025
0498714|3|3|2|18|4|4738.77|1025
0838235|1|1|1|50|3|7294.62|824
0838235|2|2|1|999|4|12602.65|824
0476699|1|1|1|55|2|2832.89|1309
0476699|2|2|1|25|3|0|1309
0476699|3|4|1|37|2|3326.11|1309
0476699|4|3|1|25|2|3394.34|1309
0476699|5|3|2|3|1|0|1309
0476699|6|4|2|28|3|4077.99|1309
0345030|1|1|1|75|0|1789.18|1096
0345030|2|2|2|36|3|832.18|1096
0345030|3|3|1|25|3|5873.49|1096
0126564|1|1|1|67|3|5612.5|80
0126564|2|2|2|31|3|3380.79|80
0126564|3|3|2|33|3|2604.83|80
0126564|4|4|2|10|2|0|80
0182467|1|1|2|70|3|0|476
0182467|2|2|1|83|1|1945.68|476
0182467|3|3|2|18|2|1131.2|476
0182467|4|3|1|12|2|0|476
0182467|5|3|1|4|3|0|476
0182467|6|3|2|28|4|0|476
0182467|7|3|2|15|2|0|476
0621943|1|1|2|64|1|1988.18|618
0621943|2|2|2|86|2|4123.13|618
0621943|3|3|1|28|3|3275.92|618
0621943|4|3|1|28|4|3843.81|618
0621943|5|3|2|31|2|5081.2|618
0621943|6|4|2|38|3|2648.77|618
0621943|7|3|2|29|4|8484.29|618
0433905|1|1|1|69|4|5491.26|843
0433905|2|2|1|55|3|3166.15|843
0433905|3|4|1|28|1|1516.31|843
0196078|1|1|1|69|5|0|188
0196078|2|2|1|87|4|0|188
0196078|3|4|1|36|1|2751.87|188
0874205|1|1|2|30|1|0|237
0874205|2|2|1|75|2|0|237
0874205|3|3|2|18|2|1602.74|237
0552359|1|1|1|38|1|3600.24|1385
0552359|2|2|1|33|2|0|1385
0552359|3|3|2|23|3|2055.82|1385
0552359|4|4|1|23|3|0|1385
0552359|5|3|2|12|1|0|1385
0127629|1|1|1|49|1|3530.91|129
0127629|2|2|2|84|4|11524.2|129
0127629|3|3|2|13|4|0|129
0127629|4|3|1|15|4|6513.5|129
0127629|5|3|2|15|1|986.19|129
0127629|6|4|2|20|2|3610.53|129
0909824|1|1|1|79|0|2945.35|1135
0909824|2|2|1|72|2|7223.89|1135
0909824|3|3|1|39|1|1932.99|1135
0909824|4|3|2|39|2|2256.45|1135
0909824|5|3|2|5|1|0|1135
0707590|1|1|2|29|4|2938.63|309
0707590|2|2|2|81|4|8327.95|309
0707590|3|3|2|1|1|0|309
0659882|1|1|1|71|3|12114.66|1001
0510281|1|1|2|34|1|1160.78|1122
0923615|1|1|1|63|3|4585.98|931
0923615|2|2|2|27|2|2048.26|931
0923615|3|3|2|14|4|0|931
0666155|1|1|1|24|2|0|1026
0666155|2|2|1|48|1|3636.45|1026
0666155|3|4|2|11|4|0|1026
0276642|1|1|1|82|4|17175.08|364
0276642|2|2|1|80|2|14964|364
0648807|1|1|1|70|4|5974.32|962
0723954|1|1|2|84|3|0|112
0560003|1|1|2|71|2|0|483
0560003|2|2|2|85|2|4049.28|483
0269160|1|1|1|58|4|5735.29|753
0269160|2|2|2|24|3|3966.01|753
0269160|3|3|2|34|4|4409.08|753
0776323|1|1|1|61|2|8835.57|620
0776323|2|2|2|74|5|0|620
0349110|1|1|2|48|3|0|1226
0349110|2|2|2|29|1|1046.12|1226
0823479|1|1|1|30|4|12499.67|116
0823479|2|2|2|87|1|11198.73|116
0823479|3|3|2|38|2|2396.48|116
0823479|4|3|2|10|4|0|116
0795135|1|1|1|41|2|2163.72|1102
0414689|1|1|1|67|5|0|460
0414689|2|2|1|29|2|1454.17|460
0414689|3|3|1|22|3|1488.03|460
0414689|4|3|1|21|3|4570.27|460
0772214|1|1|1|26|5|8136.31|843
0772214|2|2|1|73|2|8800.16|843
0772214|3|3|2|37|1|0|843
0772214|4|3|2|2|0|0|843
0734171|1|1|2|58|4|8137.56|1297
0734171|2|2|2|60|5|6433.54|1297
0734171|3|3|2|30|0|0|1297
0136615|1|1|1|47|4|8479.68|192
0136615|2|2|1|46|2|0|192
0136615|3|4|2|1|1|0|192
0136615|4|3|1|0|4|0|192
0943793|1|1|2|63|2|0|1153
0943793|2|2|2|49|1|4043.86|1153
0943793|3|3|2|40|3|7220.45|1153
0943793|4|3|2|1|3|0|1153
0675482|1|1|1|57|4|8987.59|898
0675482|2|2|2|40|5|20133.5|898
0675482|3|3|2|31|1|939.99|898
0103765|1|1|2|62|1|1766.47|1140
0103765|2|2|2|28|4|0|1140
0103765|3|3|1|33|4|14401.74|1140
0103765|4|4|1|1|4|0|1140
0103765|5|3|2|33|4|3210.06|1140
0103765|6|3|2|36|3|3020.74|1140
0103765|7|3|1|36|1|2493.82|1140
0146633|1|1|2|40|0|871.05|165
0146633|2|2|1|71|5|0|165
0146633|3|3|2|17|3|n.d.|165
0146633|4|3|1|9|3|0|165
0515453|1|1|1|81|4|7928.03|1389
0515453|2|2|2|84|1|2973.53|1389
0515453|3|3|2|36|4|8240.74|1389
0359076|1|1|2|53|4|7233.15|309
0359076|2|2|2|34|1|1209.54|309
0293044|1|1|1|62|1|4009.42|583
0293044|2|2|2|36|2|3696.17|583
0293044|3|4|1|17|1|0|583
0215832|1|1|1|40|2|2991.19|1360
0215832|2|2|2|30|1|1347.57|1360
0215832|3|3|1|5|3|0|1360
0215832|4|3|2|0|2|0|1360
0554606|1|1|1|72|2|0|1145
0554606|2|2|1|67|1|3677.2|1145
0554606|3|3|2|29|2|0|1145
0198499|1|1|1|58|5|0|95
0198499|2|2|2|30|2|929.58|95
0198499|3|3|2|14|0|0|95
0367792|1|1|1|68|5|9175.02|1110
0367792|2|2|1|49|3|0|1110
0367792|3|3|1|33|1|3377.63|1110
0876031|1|1|1|43|1|3237.39|277
0876031|2|2|1|80|1|0|277
0166486|1|1|1|48|2|3146.27|1246
0166486|2|2|1|45|1|1372.2|1246
0166486|3|3|2|10|4|0|1246
0858241|1|1|2|82|1|5586.56|765
0412201|1|1|2|59|3|5277.88|1396
0412201|2|2|1|36|1|3173.4|1396
0412201|3|3|2|9|2|0|1396
0412201|4|3|1|32|3|0|1396
0412201|5|3|1|33|2|1573.84|1396
0412201|6|3|2|25|2|0|1396
0992653|1|1|1|24|2|3230.82|466
0992653|2|2|1|51|4|2683.27|466
0707186|1|1|1|77|5|6559.41|778
0707186|2|2|1|72|5|11781.71|778
0707186|3|3|2|33|3|3517.74|778
0127117|1|1|2|48|3|5480.44|823
0127117|2|2|1|68|4|7002.01|823
0127117|3|3|1|28|2|3942.85|823
0447258|1|1|1|51|3|6058.98|1250
0447258|2|2|1|28|0|2241.91|1250
0356828|1|1|1|63|2|4577.48|194
0356828|2|2|1|86|3|5616.09|194
0356828|3|3|2|26|4|4074.47|194
0356828|4|3|2|29|3|2649.39|194
0145796|1|1|1|51|1|0|1240
0145796|2|2|1|51|3|3161.6|1240
0145796|3|3|1|26|1|1989.96|1240
0145796|4|4|1|22|2|2703.21|1240
0145796|5|3|1|11|4|0|1240
0790271|1|1|1|54|4|6631.19|1163
0790271|2|2|1|64|1|2397.67|1163
0790271|3|4|1|38|2|5904.19|1163
0790271|4|3|1|13|1|0|1163
0790271|5|3|1|18|4|2489.99|1163
0790271|6|3|2|36|2|4883.7|1163
0830962|1|1|1|32|3|3075.04|115
0830962|2|2|2|78|4|5643.33|115
0830962|3|4|1|36|4|11345.15|115
0592286|1|1|2|41|1|1714.29|1301
0592286|2|2|1|82|2|6177.51|1301
0592286|3|4|1|23|1|835.69|1301
0592286|4|3|1|22|3|2507.17|1301
0592286|5|3|1|24|2|1596.77|1301
0778456|1|1|1|42|2|2084.26|225
0778456|2|2|1|35|5|9401.26|225
0778456|3|3|1|3|1|0|225
0778456|4|3|1|19|1|1146.5|225
0872634|1|1|1|79|2|5467.17|147
0872634|2|2|1|40|2|1662.74|147
0454726|1|1|1|31|2|2837.48|754
0157044|1|1|1|70|3|6308.41|933
0157044|2|2|2|35|2|5976.36|933
0271564|1|1|1|79|2|14414.31|675
0271564|2|2|1|60|2|10302.2|675
0271564|3|3|2|20|3|3771.5|675
0271564|4|3|2|26|3|6772.16|675
0271564|5|3|2|29|1|968.13|675
0271564|6|3|1|31|1|1017.13|675
0941514|1|1|1|49|4|6596.8|263
0941514|2|2|1|71|2|n.d.|263
0941514|3|3|2|15|0|0|263
0941514|4|3|1|35|0|2051.76|263
